pack_name;ch_id
Спорт+ HD;192
Спорт+ HD;119
КХЛ HD;119
Спорт 1 HD;192
Матч Премьер;171
Матч Премьер;141
Viasat;235
Viasat;211
Viasat;170
Viasat;205
Viasat;189
Viasat;153
Viasat;191
Viasat;168
Дождь;248
Матч! Футбол;103
Матч! Футбол;136
Матч! Футбол;174
Unicast;167
TV Бизнес Спорт;105
TV Бизнес Спорт;261
TV Бизнес Спорт;207
TV Бизнес Спорт;192
TV Бизнес Спорт;171
TV Бизнес Спорт;103
TV Бизнес Спорт;136
TV Бизнес Спорт;174
TV Бизнес Спорт;119
Базовый Блок 1;230
Базовый Блок 1;117
Базовый Блок 1;172
Базовый Блок 1;190
Базовый Блок 1;241
Базовый Блок 1;116
Базовый Блок 1;137
Базовый Блок 1;131
Базовый Блок 1;256
Базовый Блок 1;124
Базовый Блок 1;108
Базовый Блок 1;217
Базовый Блок 1;260
Базовый Блок 1;142
Для взрослых;185
Для взрослых;184
Для взрослых;163
Для взрослых;164
Для взрослых;199
Настрой кино;143
Настрой кино;245
Настрой кино;232
Настрой кино;125
pack129;197
pack129;240
pack129;176
pack129;251
pack129;110
pack129;127
pack129;215
pack129;157
pack129;227
pack129;112
pack129;231
pack129;188
pack129;139
pack129;253
pack129;220
pack129;102
pack129;194
pack129;208
pack129;237
pack129;101
Настрой кино Акция;143
Настрой кино Акция;245
Настрой кино Акция;232
Настрой кино Акция;125
viju+;146
viju+;154
viju+;156
viju+;229
viju+;201
viju+;186
Путешествия HD;107
Путешествия HD;121
Путешествия HD;177
Путешествия HD;151
Путешествия HD;234
Путешествия HD;238
Базовый Блок 3;114
Базовый Блок 3;203
Базовый Блок 3;209
Базовый Блок 3;262
Базовый Блок 3;134
Базовый Блок 3;187
Базовый Блок 3;132
Базовый Блок 3;219
Базовый Блок 3;207
Базовый Блок 3;236
Базовый Блок 3;180
Базовый Блок 3;129
Базовый Блок 3;152
Базовый Блок 3;159
Базовый Блок 4;133
Базовый Блок 4;155
Базовый Блок 4;206
Базовый Блок 4;193
Базовый Блок 4;222
Базовый Блок 4;135
Базовый Блок 4;150
pack123;161
pack123;202
pack123;181
pack123;221
pack123;228
pack123;265
pack123;263
Общедоступный;257
Общедоступный;223
Общедоступный;138
Общедоступный;104
Общедоступный;130
Общедоступный;259
Общедоступный;182
Общедоступный;204
Общедоступный;106
Общедоступный;169
Общедоступный;250
Общедоступный;218
Общедоступный;179
Общедоступный;147
Общедоступный;126
Общедоступный;120
Общедоступный;175
Общедоступный;162
Общедоступный;145
Общедоступный;166
Общедоступный;249
Общедоступный;244
Общедоступный;123
Общедоступный;178
Общедоступный;161
Общедоступный;252
Общедоступный;202
Общедоступный;115
Общедоступный;214
Общедоступный;216
Общедоступный;246
Общедоступный;196
Общедоступный;264
Общедоступный;198
Общедоступный;226
Общедоступный;225
Общедоступный;233
Общедоступный;255
Общедоступный;195
Общедоступный;149
Общедоступный;258
Общедоступный;200
Общедоступный;160
Общедоступный;111
Общедоступный;254
Общедоступный;213
Общедоступный;210
Общедоступный;242
Общедоступный;212
Общедоступный;247
Общедоступный;118
Общедоступный;224
Общедоступный;140
Общедоступный;113
TV Бизнес;212
TV Бизнес;239
TV Бизнес;128
TV Бизнес;172
TV Бизнес;109
TV Бизнес;148
TV Бизнес;243
TV Бизнес;165
TV Бизнес;236
TV Бизнес;158
TV Бизнес;217
TV Бизнес;150
TV Бизнес;133
TV Бизнес;144
TV Бизнес;183
TV Бизнес;122
TV Бизнес;173
TV Бизнес;257
TV Бизнес;223
TV Бизнес;138
TV Бизнес;104
TV Бизнес;130
TV Бизнес;259
TV Бизнес;182
TV Бизнес;204
TV Бизнес;106
TV Бизнес;169
TV Бизнес;250
TV Бизнес;195
TV Бизнес;218
TV Бизнес;179
